RANDAO,Block Number
7.62E+76,15537394
1.15E+77,15537395
8.95E+76,15537396
2.23E+76,15537397
5.72E+76,15537398
1.03E+77,15537399
4.79E+76,15537400
5.18E+76,15537401
4.06E+76,15537402
9.78E+76,15537403
2.72E+76,15537404
1.33E+76,15537405
1.63E+76,15537406
1.38E+75,15537407
1.71E+76,15537408
1.95E+76,15537409
7.93E+75,15537410
1.03E+77,15537411
7.58E+75,15537412
3.48E+76,15537413
7.89E+76,15537414
2.60E+76,15537415
6.17E+76,15537416
4.63E+76,15537417
6.72E+76,15537418
4.95E+76,15537419
3.55E+76,15537420
6.58E+76,15537421
2.93E+76,15537422
5.32E+76,15537423
4.32E+76,15537424
1.79E+76,15537425
1.05E+77,15537426
3.56E+76,15537427
7.02E+76,15537428
7.96E+76,15537429
1.63E+76,15537430
7.36E+76,15537431
5.98E+76,15537432
2.86E+76,15537433
1.07E+76,15537434
3.72E+76,15537435
1.10E+77,15537436
8.66E+76,15537437
5.69E+76,15537438
1.96E+75,15537439
8.60E+76,15537440
3.29E+76,15537441
1.13E+77,15537442
1.16E+77,15537443
1.08E+77,15537444
1.14E+77,15537445
2.69E+76,15537446
7.84E+76,15537447
8.90E+76,15537448
9.62E+76,15537449
1.05E+77,15537450
6.83E+76,15537451
7.63E+75,15537452
2.00E+76,15537453
4.15E+76,15537454
5.80E+76,15537455
1.02E+77,15537456
7.06E+76,15537457
1.63E+76,15537458
6.65E+76,15537459
1.10E+76,15537460
3.35E+76,15537461
3.23E+76,15537462
8.15E+76,15537463
5.70E+76,15537464
6.09E+76,15537465
5.03E+76,15537466
1.03E+77,15537467
8.43E+75,15537468
9.58E+76,15537469
1.00E+77,15537470
9.10E+74,15537471
4.32E+76,15537472
3.15E+76,15537473
1.06E+77,15537474
1.06E+77,15537475
9.50E+76,15537476
1.13E+77,15537477
2.36E+75,15537478
5.89E+76,15537479
8.42E+76,15537480
9.15E+76,15537481
6.41E+76,15537482
5.05E+75,15537483
3.49E+76,15537484
1.12E+77,15537485
2.48E+76,15537486
1.59E+76,15537487
1.24E+76,15537488
9.74E+76,15537489
4.35E+76,15537490
1.04E+77,15537491
1.04E+76,15537492
7.36E+76,15537493
4.56E+76,15537494
1.02E+76,15537495
3.03E+76,15537496
9.33E+76,15537497
4.70E+76,15537498
5.64E+76,15537499
1.83E+76,15537500
5.29E+76,15537501
4.43E+76,15537502
1.61E+76,15537503
4.67E+76,15537504
5.33E+76,15537505
7.23E+76,15537506
8.26E+74,15537507
2.61E+76,15537508
1.01E+77,15537509
3.52E+76,15537510
1.44E+76,15537511
9.74E+76,15537512
5.88E+76,15537513
5.40E+76,15537514
4.11E+76,15537515
1.10E+77,15537516
3.70E+76,15537517
5.98E+76,15537518
6.91E+76,15537519
9.88E+76,15537520
2.64E+76,15537521
9.90E+76,15537522
8.09E+75,15537523
6.52E+76,15537524
2.36E+75,15537525
1.11E+77,15537526
3.18E+76,15537527
6.08E+76,15537528
1.02E+77,15537529
4.29E+76,15537530
4.57E+74,15537531
1.08E+77,15537532
7.37E+76,15537533
6.67E+75,15537534
5.26E+76,15537535
4.79E+76,15537536
4.85E+76,15537537
1.83E+76,15537538
1.13E+77,15537539
6.24E+75,15537540
3.45E+76,15537541
4.68E+76,15537542
5.77E+76,15537543
9.27E+76,15537544
6.58E+76,15537545
5.97E+76,15537546
1.08E+77,15537547
8.52E+76,15537548
9.68E+76,15537549
8.69E+76,15537550
3.35E+76,15537551
5.09E+76,15537552
6.47E+76,15537553
8.02E+76,15537554
1.41E+76,15537555
1.35E+76,15537556
7.39E+76,15537557
1.41E+76,15537558
4.48E+76,15537559
1.11E+77,15537560
1.08E+76,15537561
1.19E+76,15537562
1.76E+76,15537563
1.01E+77,15537564
6.12E+76,15537565
4.33E+76,15537566
9.14E+76,15537567
9.01E+76,15537568
1.13E+77,15537569
1.15E+77,15537570
4.56E+76,15537571
2.20E+75,15537572
4.15E+76,15537573
8.44E+76,15537574
1.08E+77,15537575
8.23E+76,15537576
1.82E+76,15537577
8.74E+76,15537578
7.26E+76,15537579
1.09E+77,15537580
7.87E+75,15537581
1.62E+76,15537582
3.25E+76,15537583
2.89E+76,15537584
5.18E+76,15537585
6.91E+76,15537586
8.89E+76,15537587
5.89E+76,15537588
7.83E+76,15537589
9.22E+76,15537590
4.83E+75,15537591
2.61E+76,15537592
4.19E+76,15537593
7.19E+76,15537594
2.78E+76,15537595
5.20E+76,15537596
2.55E+76,15537597
2.77E+76,15537598
4.00E+76,15537599
2.90E+76,15537600
9.60E+76,15537601
1.21E+76,15537602
1.05E+77,15537603
1.72E+76,15537604
1.48E+76,15537605
5.10E+76,15537606
1.23E+76,15537607
1.01E+77,15537608
1.08E+77,15537609
8.17E+75,15537610
3.97E+76,15537611
5.30E+76,15537612
6.09E+76,15537613
1.09E+77,15537614
5.08E+76,15537615
4.63E+76,15537616
1.38E+76,15537617
3.39E+76,15537618
9.24E+75,15537619
3.30E+76,15537620
9.67E+76,15537621
6.61E+76,15537622
6.00E+76,15537623
1.03E+77,15537624
8.46E+76,15537625
1.33E+76,15537626
4.36E+76,15537627
1.09E+77,15537628
6.79E+76,15537629
2.95E+76,15537630
1.03E+77,15537631
8.47E+76,15537632
7.92E+76,15537633
2.97E+76,15537634
4.32E+76,15537635
4.91E+76,15537636
3.42E+76,15537637
8.18E+76,15537638
7.94E+76,15537639
1.08E+77,15537640
1.10E+74,15537641
1.08E+77,15537642
6.45E+76,15537643
5.28E+75,15537644
3.40E+75,15537645
2.01E+76,15537646
1.35E+76,15537647
9.07E+75,15537648
6.25E+76,15537649
8.88E+76,15537650
9.13E+76,15537651
5.71E+76,15537652
6.14E+76,15537653
3.86E+76,15537654
8.28E+76,15537655
9.41E+76,15537656
6.45E+76,15537657
2.10E+76,15537658
9.82E+76,15537659
1.09E+77,15537660
4.51E+75,15537661
1.67E+76,15537662
6.32E+76,15537663
1.01E+76,15537664
3.58E+76,15537665
1.55E+76,15537666
1.12E+77,15537667
5.36E+75,15537668
6.26E+76,15537669
9.91E+75,15537670
1.07E+77,15537671
9.60E+76,15537672
3.20E+76,15537673
8.38E+76,15537674
1.15E+77,15537675
6.64E+76,15537676
1.08E+77,15537677
5.83E+75,15537678
9.42E+76,15537679
3.03E+76,15537680
9.60E+76,15537681
4.23E+76,15537682
1.16E+77,15537683
4.87E+76,15537684
8.78E+76,15537685
2.03E+75,15537686
4.03E+76,15537687
3.85E+76,15537688
2.87E+75,15537689
3.89E+76,15537690
3.24E+76,15537691
3.69E+76,15537692
2.84E+76,15537693
6.54E+76,15537694
2.87E+76,15537695
1.27E+76,15537696
4.17E+76,15537697
5.19E+76,15537698
4.35E+76,15537699
1.29E+76,15537700
2.40E+76,15537701
1.07E+77,15537702
7.10E+76,15537703
5.32E+76,15537704
8.71E+76,15537705
1.11E+77,15537706
6.47E+76,15537707
2.73E+75,15537708
8.09E+76,15537709
9.88E+76,15537710
1.41E+76,15537711
4.73E+76,15537712
3.11E+76,15537713
2.43E+76,15537714
5.48E+76,15537715
2.63E+76,15537716
1.14E+77,15537717
1.35E+76,15537718
4.42E+76,15537719
2.52E+76,15537720
6.96E+76,15537721
5.21E+75,15537722
7.56E+76,15537723
1.69E+76,15537724
2.89E+76,15537725
8.37E+76,15537726
9.50E+76,15537727
1.48E+76,15537728
7.77E+76,15537729
9.63E+76,15537730
9.14E+76,15537731
1.05E+77,15537732
6.65E+76,15537733
6.89E+76,15537734
1.10E+77,15537735
8.97E+76,15537736
5.01E+76,15537737
9.00E+76,15537738
5.47E+76,15537739
1.62E+76,15537740
4.62E+76,15537741
1.05E+77,15537742
8.51E+76,15537743
3.83E+76,15537744
7.27E+76,15537745
2.70E+76,15537746
3.29E+76,15537747
5.04E+76,15537748
5.37E+76,15537749
1.13E+77,15537750
8.47E+76,15537751
2.61E+76,15537752
9.41E+76,15537753
5.45E+76,15537754
9.73E+76,15537755
1.07E+77,15537756
8.50E+76,15537757
1.07E+77,15537758
2.10E+76,15537759
5.87E+76,15537760
8.08E+76,15537761
9.85E+76,15537762
7.69E+76,15537763
9.98E+76,15537764
3.43E+76,15537765
1.09E+77,15537766
5.58E+76,15537767
3.99E+76,15537768
5.27E+76,15537769
9.61E+76,15537770
5.15E+76,15537771
4.41E+75,15537772
5.37E+76,15537773
4.20E+76,15537774
1.03E+77,15537775
1.11E+77,15537776
1.11E+76,15537777
9.12E+76,15537778
1.67E+76,15537779
1.19E+76,15537780
2.10E+76,15537781
6.60E+76,15537782
8.58E+76,15537783
1.97E+76,15537784
8.51E+76,15537785
7.19E+76,15537786
6.58E+76,15537787
8.81E+76,15537788
3.79E+76,15537789
4.86E+76,15537790
4.59E+76,15537791
1.14E+77,15537792
1.06E+77,15537793
9.39E+76,15537794
4.12E+76,15537795
2.51E+76,15537796
2.13E+76,15537797
8.11E+75,15537798
1.14E+77,15537799
1.52E+76,15537800
6.63E+75,15537801
8.59E+76,15537802
1.12E+77,15537803
8.91E+76,15537804
7.20E+76,15537805
6.42E+76,15537806
2.77E+76,15537807
3.33E+76,15537808
1.27E+76,15537809
9.41E+76,15537810
1.00E+77,15537811
9.05E+76,15537812
3.73E+76,15537813
7.78E+76,15537814
1.10E+77,15537815
6.84E+76,15537816
8.29E+76,15537817
7.57E+76,15537818
9.56E+76,15537819
2.46E+76,15537820
1.16E+77,15537821
8.34E+76,15537822
1.02E+77,15537823
6.84E+76,15537824
3.48E+75,15537825
6.48E+76,15537826
5.45E+76,15537827
1.39E+75,15537828
6.90E+75,15537829
3.39E+76,15537830
9.37E+76,15537831
4.26E+75,15537832
1.06E+77,15537833
1.04E+77,15537834
7.37E+76,15537835
8.43E+76,15537836
1.15E+77,15537837
1.02E+77,15537838
1.12E+77,15537839
1.11E+77,15537840
5.75E+76,15537841
8.83E+76,15537842
9.56E+76,15537843
7.69E+76,15537844
1.99E+76,15537845
1.02E+77,15537846
2.10E+76,15537847
6.85E+76,15537848
5.12E+76,15537849
5.56E+76,15537850
3.22E+76,15537851
2.46E+76,15537852
5.41E+76,15537853
1.01E+77,15537854
2.45E+76,15537855
3.43E+76,15537856
5.94E+76,15537857
7.75E+76,15537858
4.33E+76,15537859
7.11E+76,15537860
3.74E+76,15537861
1.14E+76,15537862
8.01E+76,15537863
1.02E+76,15537864
6.98E+76,15537865
2.58E+76,15537866
7.02E+76,15537867
6.32E+76,15537868
9.43E+76,15537869
1.55E+76,15537870
7.81E+76,15537871
4.67E+76,15537872
5.23E+76,15537873
8.19E+76,15537874
7.29E+76,15537875
2.39E+76,15537876
1.31E+76,15537877
9.98E+76,15537878
7.87E+76,15537879
5.40E+76,15537880
1.04E+76,15537881
1.13E+77,15537882
7.00E+76,15537883
1.95E+76,15537884
1.02E+77,15537885
7.47E+76,15537886
6.55E+76,15537887
4.17E+76,15537888
6.94E+76,15537889
4.65E+76,15537890
5.45E+76,15537891
5.88E+75,15537892
9.39E+76,15537893
4.00E+76,15537894
4.69E+76,15537895
4.37E+76,15537896
6.88E+76,15537897
3.67E+76,15537898
6.53E+76,15537899
9.54E+75,15537900
6.93E+76,15537901
1.06E+77,15537902
8.02E+76,15537903
3.17E+76,15537904
3.47E+76,15537905
7.86E+75,15537906
8.77E+76,15537907
7.61E+76,15537908
9.98E+76,15537909
5.33E+76,15537910
2.72E+75,15537911
7.92E+76,15537912
7.58E+76,15537913
3.66E+75,15537914
9.60E+75,15537915
5.85E+76,15537916
7.96E+76,15537917
5.96E+76,15537918
8.84E+76,15537919
5.27E+76,15537920
8.08E+76,15537921
1.05E+77,15537922
8.88E+76,15537923
4.49E+76,15537924
9.51E+76,15537925
7.23E+76,15537926
1.15E+77,15537927
9.46E+76,15537928
8.98E+76,15537929
2.40E+76,15537930
3.01E+76,15537931
9.63E+75,15537932
2.03E+76,15537933
9.88E+75,15537934
3.70E+76,15537935
2.08E+76,15537936
1.11E+76,15537937
1.22E+76,15537938
9.82E+76,15537939
1.08E+76,15537940
2.16E+76,15537941
5.84E+76,15537942
1.11E+77,15537943
4.21E+76,15537944
4.15E+76,15537945
5.49E+76,15537946
1.05E+76,15537947
7.97E+76,15537948
1.42E+76,15537949
8.16E+75,15537950
9.50E+76,15537951
5.88E+76,15537952
8.42E+76,15537953
2.89E+76,15537954
1.62E+76,15537955
6.39E+76,15537956
3.01E+76,15537957
3.22E+76,15537958
3.81E+76,15537959
1.12E+77,15537960
2.23E+76,15537961
6.00E+76,15537962
2.39E+76,15537963
9.41E+76,15537964
6.40E+76,15537965
9.81E+76,15537966
8.91E+76,15537967
3.30E+76,15537968
2.41E+76,15537969
9.26E+76,15537970
3.08E+76,15537971
9.12E+76,15537972
7.87E+76,15537973
1.04E+77,15537974
9.06E+76,15537975
3.26E+76,15537976
8.74E+75,15537977
6.95E+76,15537978
6.17E+76,15537979
2.33E+76,15537980
1.36E+76,15537981
1.07E+77,15537982
3.13E+76,15537983
4.74E+76,15537984
4.40E+76,15537985
9.28E+76,15537986
4.77E+75,15537987
4.25E+76,15537988
1.38E+76,15537989
1.00E+77,15537990
3.67E+75,15537991
4.33E+76,15537992
6.58E+76,15537993
7.75E+76,15537994
1.99E+75,15537995
5.80E+76,15537996
3.14E+76,15537997
4.06E+76,15537998
1.15E+77,15537999
6.96E+76,15538000
1.05E+76,15538001
6.32E+76,15538002
9.73E+76,15538003
1.43E+76,15538004
7.80E+76,15538005
6.97E+76,15538006
1.59E+76,15538007
1.13E+77,15538008
6.04E+76,15538009
1.06E+77,15538010
6.46E+76,15538011
2.38E+76,15538012
9.99E+76,15538013
6.67E+76,15538014
8.33E+76,15538015
5.05E+76,15538016
1.35E+75,15538017
4.54E+76,15538018
6.50E+75,15538019
3.67E+75,15538020
9.64E+75,15538021
1.84E+76,15538022
7.81E+76,15538023
7.10E+76,15538024
9.03E+76,15538025
8.71E+76,15538026
8.32E+76,15538027
6.59E+76,15538028
6.68E+76,15538029
1.43E+76,15538030
8.03E+76,15538031
6.99E+76,15538032
7.70E+76,15538033
4.04E+76,15538034
9.40E+76,15538035
6.81E+76,15538036
1.14E+77,15538037
5.64E+76,15538038
1.05E+77,15538039
9.16E+76,15538040
9.77E+76,15538041
9.39E+76,15538042
5.38E+76,15538043
3.25E+76,15538044
2.23E+76,15538045
7.85E+76,15538046
8.31E+76,15538047
3.49E+76,15538048
8.69E+76,15538049
1.01E+77,15538050
1.14E+77,15538051
4.80E+76,15538052
3.91E+76,15538053
1.73E+76,15538054
1.96E+76,15538055
6.98E+75,15538056
4.06E+76,15538057
3.21E+76,15538058
3.18E+76,15538059
2.61E+76,15538060
8.31E+76,15538061
4.02E+76,15538062
2.70E+76,15538063
6.14E+76,15538064
3.43E+76,15538065
2.35E+76,15538066
4.46E+76,15538067
2.75E+76,15538068
9.39E+76,15538069
1.59E+76,15538070
3.03E+76,15538071
7.68E+76,15538072
1.14E+77,15538073
3.69E+76,15538074
6.45E+76,15538075
7.29E+76,15538076
2.08E+75,15538077
4.17E+76,15538078
4.74E+76,15538079
4.88E+76,15538080
1.07E+77,15538081
6.07E+76,15538082
9.03E+76,15538083
8.51E+76,15538084
6.24E+76,15538085
2.44E+76,15538086
1.05E+77,15538087
9.82E+76,15538088
1.60E+76,15538089
8.61E+76,15538090
8.99E+75,15538091
1.05E+77,15538092
6.22E+76,15538093
2.43E+76,15538094
8.62E+76,15538095
3.46E+76,15538096
8.29E+74,15538097
9.13E+76,15538098
1.00E+76,15538099
7.23E+76,15538100
3.06E+76,15538101
7.65E+76,15538102
7.48E+76,15538103
6.38E+76,15538104
2.68E+75,15538105
1.06E+77,15538106
2.50E+76,15538107
3.60E+76,15538108
1.09E+77,15538109
6.50E+76,15538110
1.04E+76,15538111
1.07E+77,15538112
4.45E+76,15538113
9.92E+76,15538114
6.22E+76,15538115
6.13E+76,15538116
1.54E+75,15538117
6.87E+76,15538118
6.17E+76,15538119
1.38E+76,15538120
5.72E+76,15538121
1.07E+77,15538122
3.69E+76,15538123
1.00E+77,15538124
3.71E+76,15538125
1.02E+77,15538126
8.14E+76,15538127
7.07E+76,15538128
7.37E+76,15538129
6.63E+75,15538130
1.51E+76,15538131
2.41E+76,15538132
3.67E+76,15538133
1.10E+77,15538134
9.21E+76,15538135
6.98E+75,15538136
9.44E+75,15538137
8.76E+76,15538138
6.05E+76,15538139
3.98E+76,15538140
2.76E+76,15538141
1.16E+77,15538142
9.39E+76,15538143
9.45E+75,15538144
5.21E+76,15538145
3.97E+76,15538146
3.18E+76,15538147
1.08E+77,15538148
2.43E+76,15538149
5.39E+76,15538150
1.02E+77,15538151
2.15E+76,15538152
6.24E+76,15538153
4.87E+76,15538154
1.00E+77,15538155
9.76E+76,15538156
1.08E+77,15538157
3.65E+76,15538158
4.38E+76,15538159
1.24E+75,15538160
1.12E+77,15538161
8.54E+76,15538162
2.45E+76,15538163
2.18E+76,15538164
9.26E+76,15538165
9.86E+76,15538166
7.68E+76,15538167
5.48E+76,15538168
5.33E+76,15538169
7.59E+76,15538170
3.35E+76,15538171
1.04E+77,15538172
1.01E+77,15538173
1.04E+77,15538174
2.74E+76,15538175
7.99E+76,15538176
1.13E+76,15538177
9.77E+76,15538178
6.03E+76,15538179
1.15E+77,15538180
7.62E+76,15538181
4.71E+76,15538182
